Video_id,Views,Likes,Comments
Dnx3m0RVZMA,4259,391,115
-8ojjG6Yyqk,3865,230,104
wFT8MCC6K3w,3880,205,11
q0gLQ2rFkZE,2365,184,64
Zq89KhQ5gY0,3615,169,8
dQLa9Qya2OU,2618,221,51
XOZzynptGXo,3256,127,15
npXhO4gfi_o,2515,234,29
o8uvnk7Flt8,6185,472,59
19ksgzttJ_4,3868,313,46
eNo2oPLo2dY,4073,173,9
oWVOWBuAOP4,3208,86,2
9murxRx9Ab8,3300,232,46
yCZUUVTFji8,3403,283,29
dVPVKrk94yw,2970,211,28
poMf9MQJIgg,16800,922,125
R0XJbG3vFCM,6787,370,57
ZtxZrO57AzE,2539,158,37
yY41-hW0rmg,4373,374,54
LtW3WdA4Iqk,7227,406,37
h7ba8ZzQT_g,15185,608,93
kSuPous5WPU,5226,303,21
RWYaWSU2KOE,5437,372,46
bYuQr5Mpvlg,9726,654,70
WTsL21mceW4,8505,509,18
QqdQtWpTwjk,5978,380,78
-nQG5srwW3A,4690,303,58
aqz7_qC202E,11843,702,96
snSRGsou8xw,9697,535,39
B0ONvoxlcok,5150,293,33
GSFszYAr4L4,4979,278,32
fRQ_pterSkY,4460,285,28
AkC2YWGldWg,14093,882,64
VrVP5h-bNqg,22705,1315,131
QIzb69FYTxA,11057,582,75
q67gTqikMn8,3811,248,66
dqmPSrDMXMY,24201,1162,45
nHd_vjgt7kk,9190,535,58
HnZW1hy4dPk,30645,1571,71
iEGjvEAx8Q0,6767,228,6
bEeIz3IbIOc,26982,957,156
TC20gLNUVpI,65991,2393,432
mJDdZEv2D5U,4210,213,26
mfJFiUjLADw,4749,235,13
R0uLfiZhZyc,3792,251,39
BqWR5yZxZvE,7159,319,86
6lWdpfOPSHA,3931,360,28
oYc5ccUAPAA,4667,176,8
umLuZygpBnc,3961,332,62
kJVOGL5Kbnc,5122,237,3
ioVQJAgH6IM,7385,483,94
bPfzGTQKz-s,12362,570,82
08xh9G_sh9I,5320,288,25
cfbQnJNmsLI,15459,988,57
EhgNtKJd5Yk,5650,338,63
Q9Dv73xslzo,13343,768,98
WiiX6pcfVUc,27537,1249,125
FA3hmEoVc_M,5977,286,66
vxXvSMEMp_g,4072,190,9
jsNgDgb_j7w,21650,1114,67
1Wp0MgLLLBA,22014,1147,60
VimPTVJ7dUY,3227,254,67
O27TpezXhZ4,2430,197,24
fXZW9PWRYDA,4618,133,7
Ih-E6fhOn8c,30735,1445,106
8fZasp4HN3c,87730,4412,300
Kgh93SCaJPw,71739,3244,279
Gvcru8fqqcA,27124,1214,65
8agtneVekfs,18782,1174,113
VujKgBgjxBY,5478,355,32
vUlJLOpyI3M,11529,413,19
BFEbRCOuTio,11964,886,37
ZsoAUDS_6sk,12461,726,79
_ftXHqW7gss,17839,988,103
3x6dIx9bdCU,6307,387,66
znkZ-QuLFdU,19080,760,0
RGlCdaZJrI4,49969,1678,85
afuJ2kwGb-M,12992,612,80
fwFgpVpGNuY,6188,386,65
AyTmYLEALKw,15013,624,54
_uJiFyH7bOA,16063,728,65
jKjSikeEIEI,30038,568,7
-WGAVYITL14,23971,873,0
lC6-VNaZJLI,15667,965,106
OW-Sb2a7dEA,27654,1237,0
UOQRc85cNXU,16196,611,65
Q4J6JXh2Vrs,53594,1869,0
ai6tReh_tEs,34108,1369,76
5ZRSJGRSuE0,27928,1105,71
vNQr6k7_D8U,8501,543,77
d6CNWVFOYIs,50372,2535,391
U2IglC56Ac0,16104,860,73
4sUzQkef-Yk,3970,154,32
oOou4wUX3Hk,19730,1168,66
3jGoqB_krn0,2922,208,24
GD1Ot6U1tQ8,14971,860,34
n666KVwvcdc,6010,413,46
LHNH0noKG5k,4243,313,57
Rg8wVACicvc,8000,423,103
q0F8_P8QnTA,63223,2549,0
alEM5B07Sec,3416,159,17
jUBuycD0YqI,16151,785,126
bZeZR50Xv4Q,16409,675,119
VkDkFOkOXZA,30668,1303,178
ykiAj_b_0FE,12471,0,104
7PzT6PCGBzM,4947,332,61
1byh9Hv4-CY,45486,1270,49
7Tp3hGDeuT0,4678,379,72
YMVVa9R8gU8,45352,1743,378
DmeEnLFfa3g,6810,370,50
DAK2ERQ_lts,1960,89,13
BloypYYtXuw,6958,561,63
-nj30_XzMTU,47624,2423,275
jJpr2wknTg4,16986,957,98
r1BgFRH8tYU,4210,225,22
JfFeCjGEvBA,58171,1597,202
N79LaXVAxPI,33526,1602,113
DQbueJcbD3c,5902,285,29
4yxQu7p1MGs,112682,4471,228
uNZIs71VwCs,6971,357,30
RAYC_uZWTJM,11345,754,81
7Gjq26Py3JM,8135,595,37
heEB69pA1CI,4435,314,49
Zi7YMNh4y-8,6508,394,43
r1x9wDCaQvM,7919,386,57
72WQYDLRZOA,7458,398,76
s9NEzOMz7R4,6487,388,50
8yiTGXEJGY4,14426,585,115
JVGuGoKipTI,14672,1015,121
2f_LDx7J1TU,46427,1644,221
U6x0cfKj06s,18675,815,95
yB_jiIqqFho,24716,909,51
vrHsx7-dx98,37535,2260,373
OnN2Vi0aN-U,8580,489,85
3ihvVifG258,158494,6058,346
_Aq7Tucna_8,9038,604,48
MQwfhGw7OJc,8735,443,41
q9Dkx4otB_Q,8576,553,57
WOU9jbSe1oc,15786,798,107
xF-mIhLjGFY,33267,1560,152
Ch53-3Qd7pw,68831,2539,242
xeUxpOwC5cw,52839,2049,124
dhXNH5fDlmg,65537,2529,232
KULxth70MP8,19637,1091,76
ReojSacVKWs,17210,805,72
bTWv1hXtzrU,20675,818,90
ZPne-lcNP-E,18828,948,106
A3LKHG1cwIg,35938,1277,74
KQaH2DCYEP4,52949,1900,116
RveX4_6MaD0,11261,901,78
z3RWT3Cm0nY,25897,1171,52
Mh9jsgAc614,62700,2563,151
AbOZzmiRMu0,9204,753,161
4mJmEADqdDc,16076,991,75
VSL4_jWMj1A,193014,6350,553
FBPSUcd7xIQ,30368,1679,85
8ZFKaxVDZ1M,17460,904,83
Xqsht64maRQ,16797,1069,124
R0y1fapso3g,42707,1975,85
fQpOoyvgUao,49049,2009,132
EHxu9xWctJc,116423,5507,152
drNJonpNcTM,130047,5932,213
d7IBvlIOmW4,59274,2300,87
2D6uhOJtN44,86400,3948,454
yzMJbhVbQcA,120527,4502,159
S78r77Wd8Zo,9904,725,0
l86JJEGUJe8,28650,1502,239
Mh7ga3E8Sss,14709,576,111
TMbTqx8lM4c,237072,10038,201
RTECtV8mULg,24129,835,106
ti5izVRoJnk,54328,2919,174
Em-KTMxxoDc,76621,3159,236
IKBk-Js_R6s,51337,2320,169
dWx5__9ghAg,36068,1196,456
UT7VpgesmTA,40846,693,98
2w6ZxGqqVI0,30797,1095,137
7WpCm8fH1i8,40444,1854,100
WjgTI4a7vGc,104322,4615,245
a6vZFMHPdUA,150226,730,68
TyXehfAB7Q0,274675,13321,2243
73v-k7HTAXY,40590,1602,123
MpiS8EGX0_Q,270216,10903,753
utuW8qvdoPg,106233,3859,168
UZTtqn-A5ss,12432,774,89
-iKkrGq0s_M,36607,1653,100
SEnXq39-Te8,92063,3450,142
WjVSMASGTm8,74489,2761,338
RmciQNnYxLY,99526,3887,203
HVaP8akjnaU,19861,771,72
hgr3iNJdLzE,477926,16189,753
_eX_ErjebuE,36007,758,90
XW1pLSIdjwM,65722,2598,153
fHbd8C69-xg,314412,10150,744
C_dLST3fa6s,349849,13690,579
mTen4Pv8OA0,11336,523,49
qO6zuDjdzE8,13159,631,62
j1oQE1514q8,45941,2164,125
Sd6z0FPQqMg,107151,7623,380
6U9zMdzDFn8,21578,858,157
DqTWuRBsfnY,12194,679,65
V8JwQcOySMQ,6262,475,66
FR_yJLyrX8Y,30474,582,119
FgYtH2i-ZwE,46325,1812,101
E8KPG5eiWE4,38191,1453,97
5Jz1UShX8G0,206847,5886,468
YnAZ3ttH9cM,16437,1235,0
OFMY0US01Fg,193939,8273,376
Qcr-GY07JXM,122142,4185,529
CstenZO2SMY,13763,705,51
WsWRpp35Uhc,309850,11263,594
fBnyyknJe-4,23718,1090,91
52A0ihjmn5Y,26376,571,0
RCH48p2S0Ww,522377,20121,1106
287kiGmdrdw,93738,3622,149
0QZVJFOE4cE,443179,15020,1478
WpeZLtLnp1s,17589,929,56
NF6PrHYV5Yg,34077,1009,105
1y57dThcJSk,35225,1278,68
oQtjuoApc7c,751192,26375,1286
gAsMgE0m3yY,17451,1638,52
Ed8fS4TGee0,141648,5969,488
tJwdgWdFvGg,246069,8873,416
CQFFaa9fmS0,964745,49830,1516
sdMYK3TuVfY,70414,1694,176
8WzD4o1oDtQ,340521,12663,839
6d9-kgWigmo,158014,6125,469
fhg7IP_bIJI,85994,2919,59
8LzM2R9EDgA,138773,4460,268
apA3W22z0ig,58209,2621,132
Zli1mJyfccY,12515,1013,157
jsuZ0Kh36bI,191684,5045,411
O8LlD6r5kgo,49695,1658,107
uRtTzbD9KBg,124978,5578,138
Srs725fGTkI,79792,2686,376
h9gFgr-gW28,7903,517,53
mX3Xeq4QEyQ,385907,13468,312
WNFTW_RZTxI,18669,883,150
_-6OQADJia4,50047,1726,56
prX-al_3EQA,631263,11222,293
uDrgzaOxYlg,55748,2139,87
wIwC_DDvKbQ,152248,5193,196
jbdsry6XjMM,118398,3422,104
m23jNk5IVZI,14098,1079,107
tXWWFNv_2es,146848,5206,133
YsxXU8_E3bI,18508,1884,139
kq7rTCIKPko,39980,913,77
pU6hGgY1dcw,36803,1179,52
Kn39_ROacNU,51387,1870,96
Ki83wJbClxk,183504,7275,402
8NcJEIsc8sQ,68131,1682,125
kSvTd0KR5WU,471964,14314,2764
2yqqNtunyxI,865601,28448,591
d_iAmE-k5DE,15231,864,111
PNRniV3gtmk,95174,3103,126
InrGxTgNbgo,31517,800,71
YXsygF1AjT4,174189,5769,302
GqNRQuU5hKc,8359,395,45
1sj48x52uh8,41862,1480,115
cs0BdQyP7ZY,933742,33596,1861
JsRq0Cfq_Tk,55684,2025,112
_WAQOcSU2Co,61349,2417,117
BNfT6hTg1ag,134663,5851,1211
yqKOhCuo3hA,728408,28728,1827
7EEl-dBc8II,78352,2612,71
eTf2g3Sx8cE,289989,10922,254
mLbc8w5j1xA,430282,15050,1030
tfm9kUrO5GI,327982,12979,304
EoE2JT2hPhM,281587,8638,226
vSfzQCSeHIM,103930,2845,188
O4F5rSH6aJM,105152,3838,126
WPBmZeV5N1Y,13218,1081,146
iIIuvazyotI,48154,1881,170
ItA_X8fT0bY,79576,2311,115
ghn2r-n1pIM,583839,23415,521
Zl0Jli4DUHA,19009,1408,194
5WeIHwhyDJA,122557,4230,138
PRRUmPcZdE8,19548,657,90
Z3rDxJAZW9o,94194,2465,0
8tobsEKQD_I,33594,1406,89
Q9G50yWjTlQ,55019,1791,71
iFmFfFRnea0,83844,2360,184
MKbMzutMRQY,130628,6851,776
D66DqgEpJDs,56075,2380,123
dArATPsuLjM,969599,32688,2928
t9i_cwXJRDg,60081,2400,75
DrNQY-2RBgg,113923,4345,146
aCaW0HdjRjk,109214,2386,165
C0BAP_2eeaA,334351,12520,569
kpfCQc_c-mQ,8429,571,122
UxhjpXPo7G0,58574,1785,119
KHIsWzn_lpg,52520,1870,154
IOAknHCCaE0,136013,4538,99
L8A1Mdw4kQw,54025,2143,104
BL6r0PK3TsM,95393,3244,250
HobKaKHvCtY,248079,6711,399
tfVucbD7WMA,167454,4890,404
mX95xK5l9w4,22771,799,100
yOm6yRQ-0Ws,54877,1944,117
ipuONg9etCo,15157,1131,198
_URWlQeHK1U,45541,1257,117
vrgE_0id5fw,36232,1024,146
s59XtxQEmmY,57503,1931,277
JBTZKuD4_Ro,149535,6676,323
hrkabvEylgM,53466,1752,197
ftJUJ6DYWy8,236117,8446,906
Ee6oktkpYvs,14526,728,123
1GbjmEYU-TM,103342,4167,264
QreQgbWRDNc,16900,1368,161
SOEK-6wglRs,14114,1141,137
Gmne_-XdS_0,43469,1674,171
g6ouzzrovXM,416377,12935,705
uLkqsDEc41w,15083,959,124
IYtwaKRD74Y,129159,5052,219
VNhTmA4_g7E,79737,2817,147
mUconJZYqmw,38915,1469,148
a6rbo88Qhdk,67302,2578,126
-pNhbWcIZvo,41721,1548,100
EO1XqDfPFq0,13642,1105,112
3PU3cllYLPs,7909,1171,373
pHSjWYmtScw,14216,1804,84
oDeiQbz99q8,103142,6786,875
C2vQ9pMkvpU,253889,8687,252
KK2_2Hnn-XU,26929,1198,62
i4kPJwbuaRE,85985,2986,122
N_vbAe_ERtU,13597,683,66
1iWQYLWQZo0,47598,2134,104
zpaDtpNmqVk,337545,13250,796
cexx8L35GsQ,22019,984,142
PthKyAKWMgk,40027,1768,59
qfZOtUd41MU,40486,1866,66
bzmEBNURzOY,1805276,40505,3489
2Zlky3-4SaY,13835,1108,55
vMmwoV7XJFA,87682,3414,71
WrTomSShXVs,138934,4934,281
B2ehISda0a0,104204,3193,603
dEdChBoO8GI,31103,1467,415
9h6c6RoI73E,44779,1914,105
6TcDTnYgY_E,6083,331,77
cyF_ex9UvtY,4922,386,41
IexkBXcJcc8,10188,798,58
0USK4yzPQ_M,245222,10908,226
dLzsv1U-g48,10034,433,40
Wr8y4tW3SUs,250318,10573,209
P9M8S5-__oI,103741,4577,182
DVC0DhygwEk,5563,480,143
-ZZPaS1zOwc,28932,1400,64
pPtEAmZvXp4,4447,340,56
Qi34dF__1F4,40387,1585,136
gTW3Tc-GlEE,13107,749,178
sXqWDkk1_OI,74767,1250,71
1JXmrPEDBhY,22456,459,86
QO_hgEtTYrE,36407,481,94
8py-GPFdFKQ,35955,1755,151
IqOZvdskIZw,7871,419,0
kcOlv9043IY,105693,3925,238
IPnIBS9h49M,337115,13601,579
tYj2DoLWV-Y,43691,1554,76
xWhBRt4AzUI,7373,448,0
